max_depth	minbucket	min_split	cp	ganancia_promedio
5	320	800	-0.03	10610667
5	320	800	-0.07	10610667
5	320	800	-0.1	10610667
5	320	810	-0.03	10610667
5	320	810	-0.07	10610667
5	320	810	-0.1	10610667
5	320	820	-0.03	10610667
5	320	820	-0.07	10610667
5	320	820	-0.1	10610667
5	320	830	-0.03	10610667
5	320	830	-0.07	10610667
5	320	830	-0.1	10610667
5	320	840	-0.03	10610667
5	320	840	-0.07	10610667
5	320	840	-0.1	10610667
5	320	850	-0.03	10610667
5	320	850	-0.07	10610667
5	320	850	-0.1	10610667
5	320	860	-0.03	10610667
5	320	860	-0.07	10610667
5	320	860	-0.1	10610667
5	320	870	-0.03	10610667
5	320	870	-0.07	10610667
5	320	870	-0.1	10610667
5	325	800	-0.03	10586667
5	325	800	-0.07	10586667
5	325	800	-0.1	10586667
5	325	810	-0.03	10586667
5	325	810	-0.07	10586667
5	325	810	-0.1	10586667
5	325	820	-0.03	10586667
5	325	820	-0.07	10586667
5	325	820	-0.1	10586667
5	325	830	-0.03	10586667
5	325	830	-0.07	10586667
5	325	830	-0.1	10586667
5	325	840	-0.03	10586667
5	325	840	-0.07	10586667
5	325	840	-0.1	10586667
5	325	850	-0.03	10586667
5	325	850	-0.07	10586667
5	325	850	-0.1	10586667
5	325	860	-0.03	10586667
5	325	860	-0.07	10586667
5	325	860	-0.1	10586667
5	325	870	-0.03	10586667
5	325	870	-0.07	10586667
5	325	870	-0.1	10586667
5	330	800	-0.03	10586667
5	330	800	-0.07	10586667
5	330	800	-0.1	10586667
5	330	810	-0.03	10586667
5	330	810	-0.07	10586667
5	330	810	-0.1	10586667
5	330	820	-0.03	10586667
5	330	820	-0.07	10586667
5	330	820	-0.1	10586667
5	330	830	-0.03	10586667
5	330	830	-0.07	10586667
5	330	830	-0.1	10586667
5	330	840	-0.03	10586667
5	330	840	-0.07	10586667
5	330	840	-0.1	10586667
5	330	850	-0.03	10586667
5	330	850	-0.07	10586667
5	330	850	-0.1	10586667
5	330	860	-0.03	10586667
5	330	860	-0.07	10586667
5	330	860	-0.1	10586667
5	330	870	-0.03	10586667
5	330	870	-0.07	10586667
5	330	870	-0.1	10586667
5	335	800	-0.03	10586667
5	335	800	-0.07	10586667
5	335	800	-0.1	10586667
5	335	810	-0.03	10586667
5	335	810	-0.07	10586667
5	335	810	-0.1	10586667
5	335	820	-0.03	10586667
5	335	820	-0.07	10586667
5	335	820	-0.1	10586667
5	335	830	-0.03	10586667
5	335	830	-0.07	10586667
5	335	830	-0.1	10586667
5	335	840	-0.03	10586667
5	335	840	-0.07	10586667
5	335	840	-0.1	10586667
5	335	850	-0.03	10586667
5	335	850	-0.07	10586667
5	335	850	-0.1	10586667
5	335	860	-0.03	10586667
5	335	860	-0.07	10586667
5	335	860	-0.1	10586667
5	335	870	-0.03	10586667
5	335	870	-0.07	10586667
5	335	870	-0.1	10586667
5	340	800	-0.03	10586667
5	340	800	-0.07	10586667
5	340	800	-0.1	10586667
5	340	810	-0.03	10586667
5	340	810	-0.07	10586667
5	340	810	-0.1	10586667
5	340	820	-0.03	10586667
5	340	820	-0.07	10586667
5	340	820	-0.1	10586667
5	340	830	-0.03	10586667
5	340	830	-0.07	10586667
5	340	830	-0.1	10586667
5	340	840	-0.03	10586667
5	340	840	-0.07	10586667
5	340	840	-0.1	10586667
5	340	850	-0.03	10586667
5	340	850	-0.07	10586667
5	340	850	-0.1	10586667
5	340	860	-0.03	10586667
5	340	860	-0.07	10586667
5	340	860	-0.1	10586667
5	340	870	-0.03	10586667
5	340	870	-0.07	10586667
5	340	870	-0.1	10586667
5	345	800	-0.03	10586667
5	345	800	-0.07	10586667
5	345	800	-0.1	10586667
5	345	810	-0.03	10586667
5	345	810	-0.07	10586667
5	345	810	-0.1	10586667
5	345	820	-0.03	10586667
5	345	820	-0.07	10586667
5	345	820	-0.1	10586667
5	345	830	-0.03	10586667
5	345	830	-0.07	10586667
5	345	830	-0.1	10586667
5	345	840	-0.03	10586667
5	345	840	-0.07	10586667
5	345	840	-0.1	10586667
5	345	850	-0.03	10586667
5	345	850	-0.07	10586667
5	345	850	-0.1	10586667
5	345	860	-0.03	10586667
5	345	860	-0.07	10586667
5	345	860	-0.1	10586667
5	345	870	-0.03	10586667
5	345	870	-0.07	10586667
5	345	870	-0.1	10586667
5	350	800	-0.03	10586667
5	350	800	-0.07	10586667
5	350	800	-0.1	10586667
5	350	810	-0.03	10586667
5	350	810	-0.07	10586667
5	350	810	-0.1	10586667
5	350	820	-0.03	10586667
5	350	820	-0.07	10586667
5	350	820	-0.1	10586667
5	350	830	-0.03	10586667
5	350	830	-0.07	10586667
5	350	830	-0.1	10586667
5	350	840	-0.03	10586667
5	350	840	-0.07	10586667
5	350	840	-0.1	10586667
5	350	850	-0.03	10586667
5	350	850	-0.07	10586667
5	350	850	-0.1	10586667
5	350	860	-0.03	10586667
5	350	860	-0.07	10586667
5	350	860	-0.1	10586667
5	350	870	-0.03	10586667
5	350	870	-0.07	10586667
5	350	870	-0.1	10586667
6	320	800	-0.03	10185333
6	320	800	-0.07	10185333
6	320	800	-0.1	10185333
6	320	810	-0.03	10185333
6	320	810	-0.07	10185333
6	320	810	-0.1	10185333
6	320	820	-0.03	10185333
6	320	820	-0.07	10185333
6	320	820	-0.1	10185333
6	320	830	-0.03	10185333
6	320	830	-0.07	10185333
6	320	830	-0.1	10185333
6	320	840	-0.03	10282667
6	320	840	-0.07	10282667
6	320	840	-0.1	10282667
6	320	850	-0.03	10282667
6	320	850	-0.07	10282667
6	320	850	-0.1	10282667
6	320	860	-0.03	10282667
6	320	860	-0.07	10282667
6	320	860	-0.1	10282667
6	320	870	-0.03	10282667
6	320	870	-0.07	10282667
6	320	870	-0.1	10282667
6	325	800	-0.03	10178000
6	325	800	-0.07	10178000
6	325	800	-0.1	10178000
6	325	810	-0.03	10178000
6	325	810	-0.07	10178000
6	325	810	-0.1	10178000
6	325	820	-0.03	10178000
6	325	820	-0.07	10178000
6	325	820	-0.1	10178000
6	325	830	-0.03	10178000
6	325	830	-0.07	10178000
6	325	830	-0.1	10178000
6	325	840	-0.03	10275333
6	325	840	-0.07	10275333
6	325	840	-0.1	10275333
6	325	850	-0.03	10275333
6	325	850	-0.07	10275333
6	325	850	-0.1	10275333
6	325	860	-0.03	10275333
6	325	860	-0.07	10275333
6	325	860	-0.1	10275333
6	325	870	-0.03	10275333
6	325	870	-0.07	10275333
6	325	870	-0.1	10275333
6	330	800	-0.03	10178000
6	330	800	-0.07	10178000
6	330	800	-0.1	10178000
6	330	810	-0.03	10178000
6	330	810	-0.07	10178000
6	330	810	-0.1	10178000
6	330	820	-0.03	10178000
6	330	820	-0.07	10178000
6	330	820	-0.1	10178000
6	330	830	-0.03	10178000
6	330	830	-0.07	10178000
6	330	830	-0.1	10178000
6	330	840	-0.03	10275333
6	330	840	-0.07	10275333
6	330	840	-0.1	10275333
6	330	850	-0.03	10275333
6	330	850	-0.07	10275333
6	330	850	-0.1	10275333
6	330	860	-0.03	10275333
6	330	860	-0.07	10275333
6	330	860	-0.1	10275333
6	330	870	-0.03	10275333
6	330	870	-0.07	10275333
6	330	870	-0.1	10275333
6	335	800	-0.03	10172667
6	335	800	-0.07	10172667
6	335	800	-0.1	10172667
6	335	810	-0.03	10172667
6	335	810	-0.07	10172667
6	335	810	-0.1	10172667
6	335	820	-0.03	10172667
6	335	820	-0.07	10172667
6	335	820	-0.1	10172667
6	335	830	-0.03	10172667
6	335	830	-0.07	10172667
6	335	830	-0.1	10172667
6	335	840	-0.03	10270000
6	335	840	-0.07	10270000
6	335	840	-0.1	10270000
6	335	850	-0.03	10270000
6	335	850	-0.07	10270000
6	335	850	-0.1	10270000
6	335	860	-0.03	10270000
6	335	860	-0.07	10270000
