max_depth	min_bucket	min_split	peso_error	cp	ganancia_promedio
5	300	1000	1	-0.1	10954667
5	300	1000	10	-0.1	11700667
5	300	1000	100	-0.1	11226000
5	300	1000	200	-0.1	11564000
5	300	1000	244	-0.1	11605333
5	300	1000	270	-0.1	11122000
5	300	900	1	-0.1	10864667
5	300	900	10	-0.1	11574667
5	300	900	100	-0.1	11226000
5	300	900	200	-0.1	11564000
5	300	900	244	-0.1	11605333
5	300	900	270	-0.1	11122000
5	300	800	1	-0.1	10864667
5	300	800	10	-0.1	11574667
5	300	800	100	-0.1	11156000
5	300	800	200	-0.1	11564000
5	300	800	244	-0.1	11605333
5	300	800	270	-0.1	11122000
5	300	700	1	-0.1	10795333
5	300	700	10	-0.1	11574667
5	300	700	100	-0.1	11156000
5	300	700	200	-0.1	11564000
5	300	700	244	-0.1	11605333
5	300	700	270	-0.1	11122000
5	300	600	1	-0.1	10812000
5	300	600	10	-0.1	11632667
5	300	600	100	-0.1	11156000
5	300	600	200	-0.1	11566000
5	300	600	244	-0.1	11605333
5	300	600	270	-0.1	11122000
5	330	1000	1	-0.1	10948667
5	330	1000	10	-0.1	11561333
5	330	1000	100	-0.1	11218000
5	330	1000	200	-0.1	11433333
5	330	1000	244	-0.1	11605333
5	330	1000	270	-0.1	11122000
5	330	900	1	-0.1	10858667
5	330	900	10	-0.1	11508667
5	330	900	100	-0.1	11218000
5	330	900	200	-0.1	11433333
5	330	900	244	-0.1	11605333
5	330	900	270	-0.1	11122000
5	330	800	1	-0.1	10858667
5	330	800	10	-0.1	11635333
5	330	800	100	-0.1	11148000
5	330	800	200	-0.1	11433333
5	330	800	244	-0.1	11605333
5	330	800	270	-0.1	11122000
5	330	700	1	-0.1	10789333
5	330	700	10	-0.1	11635333
5	330	700	100	-0.1	11148000
5	330	700	200	-0.1	11433333
5	330	700	244	-0.1	11605333
5	330	700	270	-0.1	11122000
5	360	1000	1	-0.1	11012667
5	360	1000	10	-0.1	11662667
5	360	1000	100	-0.1	11323333
5	360	1000	200	-0.1	11433333
5	360	1000	244	-0.1	11605333
5	360	1000	270	-0.1	11432000
5	360	900	1	-0.1	10922667
5	360	900	10	-0.1	11609333
5	360	900	100	-0.1	11323333
5	360	900	200	-0.1	11433333
5	360	900	244	-0.1	11605333
5	360	900	270	-0.1	11432000
5	360	800	1	-0.1	10922667
5	360	800	10	-0.1	11599333
5	360	800	100	-0.1	11253333
5	360	800	200	-0.1	11433333
5	360	800	244	-0.1	11605333
5	360	800	270	-0.1	11432000
5	390	1000	1	-0.1	10922667
5	390	1000	10	-0.1	11554000
