Feature	Gain	Cover	Frequency
ctrx_quarter	0.0971668942641932	0.0240588894473326	0.0249484536082474
mcaja_ahorro	0.0583953412608982	0.0200609909824801	0.0305154639175258
Visa_msaldopesos	0.0542384858650797	0.0192694295456866	0.0256701030927835
mpayroll	0.0491244530248476	0.0292824225759623	0.0102061855670103
mtarjeta_visa_consumo	0.0452097900642341	0.0145973471584194	0.0184536082474227
cpayroll_trx	0.0396817353599239	0.013965500441624	0.00298969072164948
mpasivos_margen	0.0371802693383377	0.0219432842419579	0.0306185567010309
mcuentas_saldo	0.0360140950489729	0.0303000398941273	0.0372164948453608
mactivos_margen	0.0295807686249217	0.0250593574533319	0.0268041237113402
mprestamos_personales	0.0259848654673439	0.0177754170387517	0.00525773195876289
mrentabilidad_annual	0.0218755275830199	0.0163275882646388	0.0211340206185567
Visa_mpagospesos	0.0210916385941288	0.0119963020900067	0.0183505154639175
cliente_edad	0.0208091619995185	0.0219822779668645	0.0331958762886598
Visa_fechaalta	0.0198049276506616	0.0132784812117929	0.024639175257732
ctarjeta_visa_trx	0.0179027736370885	0.0137999219271847	0.0147422680412371
Master_Fvencimiento	0.0157721521758521	0.0214941602704898	0.0252577319587629
Visa_mconsumospesos	0.0151502061757852	0.0142216425681314	0.024020618556701
chomebanking_trx	0.0143466680506363	0.0124794248904233	0.0193814432989691
mrentabilidad	0.0141038242459244	0.0140720802409355	0.0202061855670103
Master_fechaalta	0.0139677928895348	0.02193616537193	0.0254639175257732
mcuenta_corriente	0.0137995740589991	0.0136507559396478	0.0191752577319588
mcomisiones_otras	0.0137541229296856	0.0126805926737244	0.0221649484536082
mcomisiones	0.0135075484041041	0.0128964555120725	0.0183505154639175
cliente_antiguedad	0.0124092609945916	0.0130008351181491	0.0211340206185567
numero_de_cliente	0.0118127406486603	0.00940282812533536	0.0181443298969072
Master_mfinanciacion_limite	0.0113211570306657	0.0113374382197935	0.0219587628865979
Visa_Fvencimiento	0.0109528181472831	0.0116063191094415	0.0193814432989691
Master_status	0.010837427519213	0.0108674606847318	0.00237113402061856
Visa_mfinanciacion_limite	0.00990836032157809	0.0119352556199744	0.0160824742268041
Visa_mpagominimo	0.00975436824774557	0.0132509762557179	0.0177319587628866
mtransferencias_recibidas	0.00932296247566085	0.00811357586502045	0.0149484536082474
mtransferencias_emitidas	0.00876697394857193	0.0115443275217609	0.0148453608247423
Master_mlimitecompra	0.0087305613055955	0.0127630465666173	0.0158762886597938
mautoservicio	0.00866277437637486	0.0184851292546961	0.0193814432989691
cproductos	0.00851949045849834	0.00862677474801741	0.0109278350515464
Visa_mlimitecompra	0.00808205168749618	0.0108919930933648	0.0125773195876289
mcaja_ahorro_dolares	0.00806842362976393	0.0178302694312936	0.0142268041237113
ctarjeta_debito_trx	0.00744105618315706	0.00887192607090569	0.0135051546391753
Visa_mconsumototal	0.00744093519630865	0.00662928892356262	0.00969072164948454
ccomisiones_otras	0.00696385118283904	0.0145315496937575	0.0150515463917526
ccomisiones_mantenimiento	0.00665845831047676	0.0152705503942421	0.00505154639175258
Visa_msaldototal	0.006545806225278	0.00987101705065408	0.0136082474226804
cprestamos_personales	0.0062984893391359	0.00634584001080971	0.00247422680412371
mcomisiones_mantenimiento	0.0062877882715537	0.0140650934841272	0.00917525773195876
Visa_cconsumos	0.00628764505766864	0.00836212148139813	0.0117525773195876
ctransferencias_recibidas	0.00601967515912106	0.00983551924479043	0.00907216494845361
Visa_mpagado	0.00536184109525874	0.0127827009486786	0.00958762886597938
thomebanking	0.00523771630479687	0.00383227421891413	0.00319587628865979
ctransferencias_emitidas	0.00479413677876853	0.0152909059926231	0.00752577319587629
mcuenta_debitos_automaticos	0.00459873497725525	0.00980538726815553	0.0105154639175258
mpagomiscuentas	0.00451132928409946	0.0105168017121223	0.00938144329896907
Master_msaldopesos	0.00447498841720874	0.00595239159886752	0.00618556701030928
mextraccion_autoservicio	0.00427324066622347	0.00826978450342015	0.0110309278350515
Master_mpagospesos	0.00426377319121647	0.0123006502978523	0.00742268041237113
mtarjeta_visa_debitos_automaticos	0.00421160169598379	0.00633751687797194	0.00824742268041237
cextraccion_autoservicio	0.0039727885712446	0.00331586396842421	0.0054639175257732
Master_mpagominimo	0.00372032463830146	0.00566106670571256	0.0045360824742268
ccallcenter_trx	0.00339586233538265	0.00605614620778962	0.00195876288659794
tcallcenter	0.00326844474928088	0.00370558272255021	0.00206185567010309
ccaja_ahorro	0.00321134056068518	0.0108448744054499	0.00360824742268041
Visa_mconsumosdolares	0.00317152428396322	0.00325243946043823	0.0054639175257732
ctarjeta_debito	0.00305401705633839	0.00388395589418455	0.00515463917525773
ccuenta_debitos_automaticos	0.00295515160983401	0.0104846524682489	0.00608247422680412
Master_msaldototal	0.00284215038424953	0.00505691803354391	0.00484536082474227
ctarjeta_visa_debitos_automaticos	0.00252199138902309	0.00554616377356331	0.00474226804123711
cpagomiscuentas	0.00238048381687045	0.0067068851149946	0.0045360824742268
cmobile_app_trx	0.00231047221261696	0.00155965245198884	0.00309278350515464
mplazo_fijo_dolares	0.0022665827541157	0.0161488492410116	0.00278350515463918
mdescubierto_preacordado	0.00224323347242352	0.00857654631816311	0.00216494845360825
ccajas_consultas	0.00224033993729053	0.0107673544331831	0.00206185567010309
Visa_fultimo_cierre	0.00219405941690432	0.00273219284530087	0.00319587628865979
Visa_mpagosdolares	0.00183885883787207	0.00514525604598873	0.00298969072164948
ccaja_seguridad	0.00147998384899726	0.00667620436037039	0.00164948453608247
matm	0.00145138247904132	0.00671543182405023	0.00618556701030928
Master_cconsumos	0.00141615352388378	0.00285360997543426	0.00288659793814433
Master_fultimo_cierre	0.00138352413998029	0.0022315650432811	0.00319587628865979
Master_mconsumototal	0.001360120457787	0.00275877300883833	0.00329896907216495
Master_mconsumospesos	0.00118149686393383	0.00342161043819638	0.00402061855670103
Visa_status	0.00113560786908579	0.0036401104596597	0.00103092783505155
catm_trx	0.0010788461305251	0.00664576242579709	0.00381443298969072
cseguro_accidentes_personales	0.00105988799073536	0.00779204277606541	0.00216494845360825
