Feature	Gain	Cover	Frequency
mcaja_ahorro	0.0644115872994324	0.0226712471136752	0.0335390946502058
ctrx_quarter	0.0625577277056237	0.0203856452666351	0.0219135802469136
cpayroll_trx	0.0601727563867254	0.0164162013257431	0.00473251028806584
Visa_msaldototal	0.0517538861021566	0.0142520316480293	0.0166666666666667
mpasivos_margen	0.0509569076526265	0.0212816521937848	0.0314814814814815
ctarjeta_visa_trx	0.0443897261868303	0.0193967505243133	0.0200617283950617
mpayroll	0.0346838730852231	0.0313263719484334	0.0128600823045268
mcuentas_saldo	0.0323735369557566	0.0260620695657038	0.0299382716049383
mtarjeta_visa_consumo	0.0302344631525502	0.0111760364845711	0.0152263374485597
mactivos_margen	0.0259781877373375	0.0240894313551951	0.0241769547325103
cliente_edad	0.0221078607232325	0.0239042702803489	0.0314814814814815
mrentabilidad_annual	0.0209484652437706	0.0214240092283652	0.0240740740740741
Visa_fechaalta	0.0204002045910459	0.0123730706817066	0.0243827160493827
Master_fechaalta	0.0186058802548046	0.0236153042865626	0.0309670781893004
mprestamos_personales	0.0162072775534423	0.0193559900059886	0.00565843621399177
Visa_mpagospesos	0.0161194551642013	0.0130064575593119	0.022119341563786
Master_mfinanciacion_limite	0.0159171831625793	0.0126720044658899	0.0253086419753086
numero_de_cliente	0.0143897528953573	0.012376193423059	0.0225308641975309
Visa_Fvencimiento	0.0138419638715803	0.0130819679434062	0.0223251028806584
cprestamos_personales	0.0138378571186276	0.00576945700943964	0.00308641975308642
mcomisiones_otras	0.013702196646369	0.0127070641076016	0.0197530864197531
Visa_mfinanciacion_limite	0.0125181839702094	0.015416534374852	0.0203703703703704
mcuenta_corriente	0.0124932931777268	0.0105858533581246	0.0156378600823045
mautoservicio	0.0124747636452184	0.0143665987827664	0.0164609053497942
mcomisiones	0.011858896101013	0.00826148954722539	0.0147119341563786
cliente_antiguedad	0.0118215003216574	0.0127474249150332	0.0190329218106996
Visa_msaldopesos	0.011582162817841	0.0155947754548613	0.0212962962962963
chomebanking_trx	0.0114944070832693	0.0112058149461076	0.0148148148148148
Visa_mconsumospesos	0.0113920067198508	0.0105338359817727	0.0195473251028807
cproductos	0.0113550592304342	0.00924391896585119	0.0131687242798354
Master_Fvencimiento	0.010920100984664	0.0169411816127513	0.0189300411522634
mrentabilidad	0.0107687681704139	0.013963005697609	0.0159465020576132
mtransferencias_recibidas	0.00978571575449451	0.00845270624210215	0.0170781893004115
cextraccion_autoservicio	0.00977358237685785	0.00619775222779116	0.00617283950617284
Master_mlimitecompra	0.00891768153001781	0.0104102303844652	0.0153292181069959
mcomisiones_mantenimiento	0.00882782290186515	0.0189508880122097	0.0111111111111111
Visa_mpagominimo	0.00876240139612243	0.0124317432444287	0.0162551440329218
ccomisiones_otras	0.00869211581843484	0.0121991714612738	0.0161522633744856
mcaja_ahorro_dolares	0.00826395106707669	0.0157416092514445	0.0136831275720165
Visa_cconsumos	0.00810096859634538	0.00998026137674881	0.0141975308641975
mtransferencias_emitidas	0.00796310159753767	0.0124892216708577	0.0135802469135802
Visa_mlimitecompra	0.00726751729765337	0.0118233083193257	0.0128600823045268
Visa_mconsumototal	0.0063277346144165	0.00659579932430672	0.01059670781893
ccomisiones_mantenimiento	0.00571517048405267	0.0168309513412044	0.00617283950617284
mcuenta_debitos_automaticos	0.00511095160553264	0.00842403697829397	0.0114197530864198
Master_msaldopesos	0.00492992340011537	0.00543327017001873	0.00545267489711934
ctransferencias_emitidas	0.00490166418349983	0.0160323839370222	0.00895061728395062
ctarjeta_visa_debitos_automaticos	0.00482207916052109	0.00760778736347787	0.00802469135802469
thomebanking	0.0045447132999953	0.00594165745857679	0.0037037037037037
mpagomiscuentas	0.004504163934437	0.0118102777442104	0.00925925925925926
mtarjeta_visa_debitos_automaticos	0.00443969493474434	0.00476929041993217	0.00864197530864198
Master_mpagospesos	0.00434850562114439	0.0177840120019591	0.00864197530864198
ccallcenter_trx	0.00434570377979658	0.00698698638261932	0.00288065843621399
ctransferencias_recibidas	0.00434029459812505	0.0120063759083692	0.00843621399176955
mextraccion_autoservicio	0.00428702878466436	0.00700030175174598	0.0123456790123457
ctarjeta_debito_trx	0.00427885413465376	0.0102553623989305	0.0139917695473251
Master_mpagominimo	0.00402481792991769	0.00436767090730945	0.00462962962962963
ctarjeta_master	0.00401829229425877	0.000304519743914424	0.00051440329218107
Master_status	0.00388871830984837	0.00978266429674081	0.00205761316872428
Visa_mpagado	0.0038793545899545	0.0107925438609508	0.00617283950617284
mdescubierto_preacordado	0.00364388238475751	0.00507131696715083	0.00205761316872428
ccaja_ahorro	0.00340371073358899	0.0117056184432362	0.00360082304526749
cmobile_app_trx	0.00328482691467886	0.00222898779541745	0.00452674897119342
Master_msaldototal	0.00259158453464988	0.00382737170032287	0.00380658436213992
ccajas_consultas	0.0024763671213769	0.0110772829120425	0.00226337448559671
ccuenta_debitos_automaticos	0.00240275901126047	0.0098236746343737	0.00751028806584362
mplazo_fijo_dolares	0.00238439353347666	0.0154015801910636	0.00288065843621399
cpagomiscuentas	0.00236495775200176	0.00350567937716329	0.0044238683127572
Visa_fultimo_cierre	0.00197069356840288	0.00165069606804095	0.00318930041152263
matm	0.00187270351662927	0.0036557558283669	0.00349794238683128
ctarjeta_debito	0.00172975075996107	0.00317829617016308	0.0037037037037037
Visa_mconsumosdolares	0.00168158035225025	0.00414230890938893	0.00411522633744856
tcallcenter	0.00165651318272327	0.00227031290537867	0.00123456790123457
Master_mconsumospesos	0.00159159136621976	0.00300431201116544	0.00318930041152263
cseguro_accidentes_personales	0.00154198701635427	0.00760234629894544	0.00246913580246914
Master_mconsumototal	0.00152212477895718	0.00336571061516915	0.00318930041152263
catm_trx	0.00147640301651892	0.0053775304859748	0.00421810699588477
Master_cconsumos	0.0013747900163691	0.00223510836846817	0.00236625514403292
Master_fultimo_cierre	0.00132598838319629	0.00161270354765102	0.00298353909465021
ccaja_seguridad	0.00124070431556534	0.00644317471615955	0.00154320987654321
mtarjeta_master_consumo	0.00112009363641338	0.0027567960369944	0.00195473251028807
Visa_msaldodolares	0.00101851675411068	0.00182419058119453	0.00185185185185185
ctarjeta_visa	0.00094403315173527	0.000395064253975742	0.00051440329218107
active_quarter	0.000888270897677044	0.000394929351549318	0.00102880658436214
Visa_mpagosdolares	0.000879004549788568	0.00219858978199658	0.00133744855967078
Visa_Finiciomora	0.000853821979787043	0.00606419382924525	0.00102880658436214
cinversion1	0.00074063760116503	0.00621103761860084	0.000823045267489712
ccajas_trx	0.000692609813693329	0.00255029539684242	0.000823045267489712
Visa_status	0.000691582755619746	0.00433251633426059	0.000720164609053498
ctarjeta_master_trx	0.000667315695666994	0.00211147279284366	0.001440329218107
Visa_delinquency	0.000653940885500311	0.00232747655947929	0.00113168724279835
Master_mpagado	0.000635172977286212	0.00822300238460524	0.00174897119341564
tmobile_app	0.000617592725983202	0.00661533519420738	0.00102880658436214
tpaquete9	0.000590935824214275	0.0033315503229669	0.000823045267489712
mcheques_emitidos	0.000565582417972298	0.00237960385632676	0.000308641975308642
mttarjeta_master_debitos_automaticos	0.000541038516889623	0.00310461945979093	0.00133744855967078
mtarjeta_visa_descuentos	0.000419197252095884	0.00341589931418504	0.001440329218107
matm_other	0.00037696632197912	0.000652028394382627	0.000823045267489712
cplazo_fijo	0.000368063777578975	0.00190072022806624	0.00051440329218107
tpaquete7	0.000319412689128201	0.00335996976746689	0.00051440329218107
ctarjeta_master_debitos_automaticos	0.000285627635495743	0.00159588071543733	0.00051440329218107
internet	0.000283869842542479	0.0023433151036187	0.00051440329218107
tpaquete1	0.000274787758579719	0.00415991617423034	0.000617283950617284
mcaja_ahorro_adicional	0.000254494069769239	0.00189753753007987	0.000411522633744856
catm_trx_other	0.000224413193765414	0.000770287858494829	0.000925925925925926
mforex_sell	0.000192954166098819	0.00110970236337759	0.000617283950617284
cseguro_vida	0.000187629571576264	0.000240536022700141	0.000308641975308642
minversion2	0.000171360597730399	0.00318545599153588	0.000411522633744856
ccheques_depositados	0.000151873623615506	0.003267486659574	0.00051440329218107
Visa_madelantopesos	0.000151461211655923	0.000177621528124923	0.000617283950617284
ccajas_extracciones	0.00014548479995098	0.00153634877429504	0.000308641975308642
Visa_madelantodolares	0.000138795646130935	0.000270574296317217	0.000617283950617284
Master_msaldodolares	0.000133535416885953	0.000278288716554204	0.000205761316872428
Master_mconsumosdolares	0.000125879516945593	0.000275815505403097	0.000720164609053498
ctarjeta_visa_descuentos	9.89080815993635e-05	0.00108731355697737	0.000925925925925926
cseguro_auto	9.33443055020746e-05	0.00233608533283961	0.000308641975308642
Master_mpagosdolares	8.93401960430552e-05	0.000149886588529383	0.000720164609053498
minversion1_pesos	8.29233698568197e-05	0.00078575167367195	0.000102880658436214
cforex_sell	7.93623004895546e-05	0.000554593867801358	0.00051440329218107
ccajeros_propios_descuentos	7.56779531667576e-05	0.00151731254301077	0.000205761316872428
cseguro_vivienda	7.13489770173688e-05	8.29250211614441e-05	0.000102880658436214
mcheques_depositados	6.3744024173386e-05	0.00159272799576794	0.000205761316872428
ccajas_depositos	6.3732235999919e-05	0.00128433105619037	0.000205761316872428
Visa_cadelantosefectivo	6.21219946346148e-05	0.000243314013407243	0.000308641975308642
Master_cadelantosefectivo	2.56250113377145e-05	6.14705389738656e-05	0.000308641975308642
