Feature	Gain	Cover	Frequency
ctrx_quarter	0.0927456080196348	0.0257228421860254	0.0300081933633757
mcaja_ahorro	0.0448777082210807	0.0171309926468743	0.0252970094223679
mpasivos_margen	0.0416970203438791	0.02045175326995	0.0281646866038509
cpayroll_trx	0.0416571126186667	0.0184021076882701	0.00389184760344121
Visa_mpagominimo	0.0352135287658804	0.0132941517638894	0.0165915608357231
mactivos_margen	0.0349995135405395	0.0259030097280656	0.0274477673084801
mrentabilidad_annual	0.0307784920298788	0.0260115930908825	0.0328758705448587
mcuenta_corriente	0.0278759419044189	0.0129687572923377	0.0161818926669398
Visa_msaldopesos	0.0270045721338546	0.0133366855485216	0.0192544039328144
mpayroll	0.0268329763326865	0.0263256128303452	0.00962720196640721
ctarjeta_visa_trx	0.0252301356495979	0.0221728238627394	0.0243752560426055
mcuentas_saldo	0.0245500888573022	0.0273284124168719	0.0288816058992216
active_quarter	0.0195466129893403	0.00097522675510889	0.000614502253174928
Visa_fechaalta	0.0190566553155539	0.0113817342358309	0.0216099959033183
Visa_Fvencimiento	0.0180790099489525	0.0161266904537308	0.0279598525194592
cliente_edad	0.017913309766023	0.0210742381130819	0.024682507169193
Master_fechaalta	0.0176318921143129	0.0258189989921216	0.0308275297009422
Master_Fvencimiento	0.0162716429830246	0.0168259785297349	0.0225317492830807
mprestamos_personales	0.0159513818271286	0.017948801324121	0.00624743957394511
ccomisiones_mantenimiento	0.0154133314974245	0.0162617647712015	0.00737402703809914
ctarjeta_debito_trx	0.0150641181000069	0.00982746299488111	0.0155673904137649
Visa_cconsumos	0.0147637253947409	0.0100308157570182	0.0138263006964359
cliente_antiguedad	0.014524258760585	0.016150591916315	0.0235559197050389
Visa_mconsumospesos	0.0141525313910453	0.013612974835837	0.021200327734535
matm	0.0139348505541206	0.00481735681338488	0.00778369520688243
mrentabilidad	0.0138919914566519	0.0119951583610637	0.0167963949201147
mcomisiones_otras	0.013889987999958	0.0119118839023619	0.0199713232281852
mcomisiones	0.0137892625757815	0.0142738412606501	0.0203809913969685
mtransferencias_recibidas	0.013591712678455	0.0104175867001764	0.0178205653420729
Master_mfinanciacion_limite	0.0131259665898494	0.0125031696234409	0.0188447357640311
numero_de_cliente	0.0121252169020198	0.0110483909752765	0.0196640721015977
mtarjeta_visa_consumo	0.0114392490496436	0.0106397921666653	0.0156698074559607
mcaja_ahorro_dolares	0.01071920250943	0.019169629130742	0.0209954936501434
Visa_mfinanciacion_limite	0.0107081121666428	0.0143732236622837	0.0174108971732896
Master_mlimitecompra	0.00993820499904515	0.0108269518381622	0.0158746415403523
ctransferencias_recibidas	0.00959421472866287	0.011434761223337	0.0102417042195821
chomebanking_trx	0.00942582223341826	0.0110042143407433	0.0134166325276526
cprestamos_personales	0.00912355008762492	0.00660317472529121	0.00276526013928718
thomebanking	0.00819189260037035	0.00316381336195338	0.00450634985661614
mcomisiones_mantenimiento	0.00755569639433301	0.0143114765477116	0.00850061450225318
cproductos	0.00733551418672269	0.00600942973804949	0.00921753379762393
Visa_mpagospesos	0.00729344143888612	0.00871318502345574	0.0136214666120442
Visa_mlimitecompra	0.00725673555028358	0.00917302271769907	0.0107537894305612
Visa_mconsumototal	0.00715199823319888	0.00787779584879278	0.0130069643588693
Visa_msaldototal	0.00701485953388207	0.00921676359631343	0.0139287177386317
mautoservicio	0.00618918103751855	0.0144456242577687	0.0186399016796395
ccomisiones_otras	0.00597598621640877	0.0116000479511824	0.0109586235149529
mpagomiscuentas	0.00521478749261645	0.0114319513489636	0.0111634575993445
ctransferencias_emitidas	0.00481307513017603	0.0135229586821146	0.008603031544449
mtarjeta_visa_debitos_automaticos	0.00478616431889631	0.00725069299465862	0.0105489553461696
Master_msaldopesos	0.00470210556501088	0.0086053429465697	0.00614502253174928
Master_mpagospesos	0.00469450306559296	0.0168171982984042	0.00962720196640721
Master_status	0.00465774724038785	0.0096894485771302	0.00184350675952478
mtransferencias_emitidas	0.00454466596877584	0.0104580118268564	0.00747644408029496
Visa_mpagado	0.00433396732401819	0.0136582333471343	0.00706677591151168
mcuenta_debitos_automaticos	0.00420881330414127	0.00666406034540298	0.00901269971323228
Master_mpagominimo	0.00413588549416569	0.00444765047270451	0.00614502253174928
mextraccion_autoservicio	0.00391681445116048	0.00842068761943406	0.00942236788201557
ccaja_ahorro	0.00390428653953504	0.0107791739564375	0.00440393281442032
ctarjeta_visa_debitos_automaticos	0.00365111181647767	0.00579494266088211	0.00542810323637853
cextraccion_autoservicio	0.0035680871505825	0.00715916922563078	0.00839819746005735
tcallcenter	0.00331688300262689	0.00342357898517295	0.00153625563293732
cpagomiscuentas	0.00311827968928844	0.00822415669133716	0.005735354362966
mdescubierto_preacordado	0.0028673287659227	0.00789625286673551	0.00194592380172061
ccallcenter_trx	0.00267353093552271	0.00822838402461903	0.00256042605489553
Visa_mpagosdolares	0.00258078643752038	0.00420689783187589	0.00276526013928718
ccuenta_debitos_automaticos	0.00244226987957552	0.0075807305206561	0.00594018844735764
Master_msaldototal	0.00233547493121071	0.00294658152336603	0.0043015157722245
mplazo_fijo_dolares	0.00219336580708297	0.0140165098601497	0.00317492830807046
ctarjeta_debito	0.00209680278225998	0.00345054576525536	0.00389184760344121
Master_mconsumospesos	0.00207840634024921	0.00314300226031103	0.00419909873002868
Visa_mconsumosdolares	0.00192029941887007	0.00397505564828475	0.00471118394100778
ccajas_consultas	0.00191900815185299	0.0107104347124087	0.00204834084391643
cmobile_app_trx	0.00189839944071879	0.00170155173283751	0.00266284309709136
Master_fultimo_cierre	0.00167845252661377	0.00306944966641983	0.00419909873002868
Visa_Finiciomora	0.00155486953598095	0.00415495272113393	0.00122900450634986
Master_mconsumototal	0.00144340288891446	0.00193978500323867	0.00215075788611225
cseguro_accidentes_personales	0.00138269906695527	0.0065390885530857	0.00235559197050389
ctarjeta_master_trx	0.0012983650390584	0.00190454386938654	0.00194592380172061
Visa_fultimo_cierre	0.00117890986423675	0.00203914737011736	0.00307251126587464
ccaja_seguridad	0.00113624390109711	0.00539456811915334	0.00133142154854568
ctarjeta_master	0.00110395002328772	0.000735395713005222	0.00071691929537075
catm_trx	0.00107099779699072	0.00514006662778121	0.00358459647685375
Visa_delinquency	0.00102770862273103	0.00203945790881816	0.000819336337566571
Visa_status	0.00102289647388298	0.00477836918036826	0.000819336337566571
Visa_msaldodolares	0.000988900803158254	0.00349547370309697	0.002867677181483
matm_other	0.000911349976380674	0.00231273196552255	0.00215075788611225
cinversion1	0.000845190084855771	0.00789022240551352	0.00102417042195821
ccajas_trx	0.000746625495560503	0.0024084029288127	0.00071691929537075
Master_cconsumos	0.000711827346520774	0.0022591690483232	0.00256042605489553
mtarjeta_master_consumo	0.000677168973268728	0.000809844862177766	0.00102417042195821
cplazo_fijo	0.000623602038332126	0.00294531432511921	0.000921753379762392
mcheques_emitidos	0.00061092479762443	0.0023884232694983	0.000307251126587464
tmobile_app	0.000570451803845197	0.00704635352084321	0.00102417042195821
internet	0.00054775181330376	0.00235724418220019	0.000819336337566571
ccajas_extracciones	0.000495875242180872	0.00263020770020377	0.00071691929537075
tpaquete9	0.000462942842362991	0.00348823614789283	0.000921753379762392
Master_mpagado	0.000433453743423864	0.00647088023006149	0.00112658746415404
tpaquete7	0.000369072014296256	0.00294902576346265	0.000409668168783286
mtarjeta_visa_descuentos	0.0003614221298196	0.0039020690362192	0.00133142154854568
Visa_madelantopesos	0.000300571730822493	0.000411568961023757	0.000921753379762392
ctarjeta_visa	0.000299172799920844	0.000538734559001537	0.000512085210979107
mttarjeta_master_debitos_automaticos	0.000271865086561157	0.00194018068964775	0.000921753379762392
Master_madelantopesos	0.000248635251003457	4.96210791746767e-05	0.000204834084391643
tpaquete1	0.000219876151552603	0.00456712773349312	0.000614502253174928
cseguro_vivienda	0.000213811393982445	0.000269527557539891	0.000204834084391643
catm_trx_other	0.000191872693021043	0.000673798859094838	0.000409668168783286
Master_mconsumosdolares	0.000189426849223742	0.000248015239476377	0.00102417042195821
minversion2	0.000166861775790009	0.00319329951246326	0.000409668168783286
ccajeros_propios_descuentos	0.000135828794052094	0.00211078664491654	0.000307251126587464
cseguro_auto	0.000131455832768708	0.00308790167567384	0.000409668168783286
mcheques_depositados	0.000105193964254774	0.0015936495516868	0.000307251126587464
Visa_cadelantosefectivo	9.70010063058424e-05	3.1113974344715e-05	0.000102417042195821
ccheques_depositados	7.67241891446095e-05	0.00153571905792135	0.000204834084391643
Master_mpagosdolares	7.49694192446644e-05	0.000341006554299941	0.00102417042195821
mcaja_ahorro_adicional	6.39608928108251e-05	0.000360375153590188	0.000102417042195821
Visa_madelantodolares	5.73317138037739e-05	8.13411048548248e-05	0.000204834084391643
ctarjeta_visa_descuentos	5.38682818174275e-05	0.00086060291369247	0.000409668168783286
Master_msaldodolares	4.19655099397959e-05	0.000101310746791782	0.000102417042195821
mforex_sell	3.37992250647979e-05	0.000447411137522595	0.000409668168783286
cseguro_vida	3.33423871534905e-05	0.000324838507103428	0.000102417042195821
ccajas_depositos	2.57330672064164e-05	0.000747982547765085	0.000102417042195821
ctarjeta_master_debitos_automaticos	2.24938553076305e-05	8.97757366636626e-05	0.000204834084391643
Master_delinquency	2.09005139901477e-05	0.000178674952800872	0.000204834084391643
mcajeros_propios_descuentos	1.6140960834224e-06	0.000155159159248323	0.000102417042195821
cforex_sell	1.78608881636608e-12	0.000154533073157999	0.000204834084391643
