fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 230356	-0.0925638927302788	2015	323	3	5	8885000	90
20220520 230428	-0.375603983711329	1591	783	14	5	9670000	91
20220520 230459	-0.182999888945933	1435	716	14	5	10310000	92
20220520 230528	-0.501667390662837	1754	868	16	5	9855000	93
20220520 230557	-0.650868402924407	4165	520	20	5	9053000	94
20220520 230626	-0.125146006468406	1360	679	16	5	9968000	95
20220520 230644	-0.999851237972895	1405	168	4	5	8973000	96
20220520 230713	-0.258788153103535	1460	729	12	5	10360000	97
20220520 230742	-0.2703085369718	1441	714	20	5	10312000	98
20220520 230811	-0.226184048201302	1409	697	15	5	10223000	99
20220520 230850	-0.278800492724945	1615	3	15	5	9813000	100
20220520 230924	-0.999947723857204	4575	112	20	5	9087000	101
20220520 230947	-0.370450173996312	7995	1999	20	5	8236000	102
20220520 231018	-0.596031191103814	1456	474	15	5	10398000	103
20220520 231042	-0.923456820994513	6897	2000	20	5	8551000	104
20220520 231111	-0.567742645756423	1464	660	20	5	10034000	105
20220520 231142	-0.633437900297838	1439	361	13	5	10332000	106
20220520 231156	-0.916765011396452	6446	2	3	5	8925000	107
20220520 231225	-0.270522457120148	1580	760	16	5	9623000	108
20220520 231254	-0.213141127730414	1436	244	10	5	1e+07	109
20220520 231325	-0.251840080315037	2665	10	11	5	9242000	110
20220520 231405	-0.239857675115172	1389	38	20	5	8840000	111
20220520 231434	-0.102843255210399	1380	548	11	5	10312000	112
20220520 231506	-0.531991209281364	1924	230	13	5	9190000	113
20220520 231535	-0.333224842044403	1485	3	10	5	9616000	114
20220520 231604	-0.718716940510159	1453	707	13	5	10307000	115
20220520 231634	-0.217613317002457	1476	733	9	5	10182000	116
20220520 231653	-0.617718974116106	4128	1999	3	5	8439000	117
20220520 231739	-0.343411562738718	1457	513	20	5	10519000	118
20220520 231809	-0.614496996172411	1456	728	14	5	10180000	119
20220520 231823	-0.999384030603646	4486	3	3	5	8960000	120
20220520 231838	-0.750128106842093	5690	179	3	5	8849000	121
20220520 231926	-0.395266732605787	1452	721	20	5	10243000	122
20220520 232007	-0.0995943622968574	1859	1	12	5	9638000	123
20220520 232053	-0.651758971506143	1492	38	16	5	9165000	124
20220520 232129	-0.46206669851351	1710	445	18	5	10114000	125
20220520 232145	-0.250665774692918	7984	2000	3	5	8236000	126
20220520 232219	-0.594183239512578	1387	426	11	5	10185000	127
20220520 232249	-0.999994061463347	6091	1089	14	5	8775000	128
20220520 232305	-0.62927341140069	5604	1149	3	5	8652000	129
20220520 232339	-0.317839674411085	1702	847	20	5	9772000	130
20220520 232358	-0.746139309032265	7995	2000	4	5	8236000	131
20220520 232414	-0.442347057785012	7997	1244	3	5	8236000	132
20220520 232451	-0.372899001857373	1627	371	20	5	10135000	133
20220520 232526	-0.682598680321215	1564	477	13	5	10308000	134
20220520 232614	-0.752281458333138	5033	1	20	5	8964000	135
20220520 232654	-0.813405287169095	7999	20	20	5	7971000	136
20220520 232710	-0.448973618444138	5992	1	3	5	8535000	137
20220520 232744	-0.245893968208883	1378	534	12	5	10245000	138
20220520 232818	-0.772663497596645	2422	667	20	5	9716000	139
20220520 232849	-0.221739874656583	2552	1275	11	5	9258000	140
20220520 232909	-0.665224912144357	1448	434	3	5	8885000	141
20220520 232949	-0.999958180493752	903	219	13	5	9355000	142
20220520 233025	-0.563200670559052	5556	279	20	5	8893000	143
20220520 233041	-0.317800115928311	6394	1971	3	5	8439000	144
