fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220531 164651	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	373	TRUE	999983	0.0100054788434627	0.392618010523019	5427	633	0.0109926895678725	12726000	34
20220531 164820	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	541	TRUE	999983	0.0107117637529525	0.370323159825793	5807	1020	0.0161337503821849	13542000	35
20220531 164834	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	999983	0.177749559523639	0.410614211043203	5591	49	0.0167649820539992	13192000	36
20220531 164939	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	562	TRUE	999983	0.0104532772788791	0.964219401277749	5962	85	0.0163810842294724	13392000	37
20220531 165124	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	588	TRUE	999983	0.0103477435836641	0.510767428859118	5571	467	0.0166392947303806	13984000	38
20220531 165301	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	602	TRUE	999983	0.0101024681293734	0.364100463317554	5814	367	0.0165283628674242	13715000	39
20220531 165442	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	453	TRUE	999983	0.0104668263619706	0.527828375702027	4320	1021	0.0167071457659088	13780000	40
20220531 165624	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	647	TRUE	999983	0.0100515267248307	0.556936817223565	7964	539	0.0164929876631121	13451000	41
20220531 165806	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	558	TRUE	999983	0.0105516807994296	0.543209380886995	5122	577	0.0166795319951076	13824000	42
20220531 165923	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	479	TRUE	999983	0.018437935013252	0.483545769597623	4147	465	0.0169582388988217	13342000	43
