fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	max_bin	num_iterations	force_row_wise	is_unbalance	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	min_gain_to_split	ganancia	iteracion
20220601 162857	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	2	TRUE	TRUE	0.0817495587681697	0.963738216162892	839	84	0.0322893157649257	36.5453289326979	98.5381827260426	129.206170604448	-29031000	28
20220601 162914	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	151	TRUE	TRUE	0.266907284377834	0.392884753883118	3937	614	0.0454156695866914	46.2995404515823	86.736284365179	968.663210405794	-4603000	29
20220601 162948	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	346	TRUE	TRUE	0.295584136729834	0.590709177957615	5284	330	0.0476196629155917	3.29393295542104	7.16507425167947	216.955045354553	5348000	30
20220601 163000	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	96	TRUE	TRUE	0.256401968471269	0.318536167655839	631	216	0.00973428844748317	77.8181118250359	92.8042962390464	572.703927660768	-6089000	31
20220601 163007	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	1	TRUE	TRUE	0.0719612532537212	0.779825278773205	6433	884	0.0235667963805099	48.1960841090768	51.8740665429505	489.533506413864	-36855000	32
20220601 163033	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	151	TRUE	TRUE	0.15459738585353	0.944603016877573	937	582	0.0149971363515262	29.7543932588244	31.2948350830338	0.11915151836394	6845000	33
20220601 163100	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	284	TRUE	TRUE	0.1988006517801	0.79341465386019	2140	605	0.0293806461084764	80.8935061473274	28.0320125060063	2.19521219474434	7169000	34
20220601 163128	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	240	TRUE	TRUE	0.238469594178579	0.568425338249432	2020	634	0.0437003813661458	22.8613505060723	42.9240684820266	42.0079062570943	7553000	35
20220601 163155	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	250	TRUE	TRUE	0.179053627093769	0.808252759148276	2290	633	0.0498691333840985	5.52963934512057	45.0652421213163	0.256692607059673	8224000	36
20220601 163232	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	488	TRUE	TRUE	0.141120731583693	0.996498625426782	4337	350	0.0178559245262114	78.7900958147283	8.32217129581446	0.228359645228034	8007000	37
20220601 163314	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	673	TRUE	TRUE	0.226996653354847	0.750689491534264	7153	741	0.0499602170235036	33.2267668794997	15.5957811095952	48.7028088731829	7297000	38
20220601 163334	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	233	TRUE	TRUE	0.27056038779016	0.626098545163256	6605	684	0.047128043999989	54.7841352141222	33.6195104152517	111.735387673953	3887000	39
20220601 163354	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	230	TRUE	TRUE	0.221340618492667	0.637324503408275	2205	756	0.0499792482285366	0.244318632533497	20.9523887404619	241.440147407659	6424000	40
20220601 163437	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	660	TRUE	TRUE	0.139503262323687	0.901351901293346	7236	539	0.0480866292235576	14.7850405361818	23.6099069185831	0.0974334744413718	7822000	41
20220601 163510	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	421	TRUE	TRUE	0.210578367653806	0.932142945296422	5506	700	0.0385746993294857	0.571832533642096	46.6773156866895	0.0201768577116623	8609000	42
20220601 163553	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	438	TRUE	TRUE	0.216870968508627	0.596237535556221	4147	389	0.0421347428119366	50.1316594185556	2.71003707021673	2.40597562274564	6925000	43
20220601 163629	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	456	TRUE	TRUE	0.244772277030462	0.996934567849597	3702	422	0.048122510862212	3.16300358843254	18.3204845876377	10.7317901634624	8156000	44
20220601 163701	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	414	TRUE	TRUE	0.205263737982471	0.966703114079073	4646	532	0.0499724168663951	27.5063765792551	35.5970979243675	3.07639735590025	7867000	45
20220601 163735	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	293	TRUE	TRUE	0.247429600140507	0.429857818229955	4518	595	0.0277963141442721	0.0401419170551063	11.2226065181816	7.91849753289409	6285000	46
20220601 163752	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	131	TRUE	TRUE	0.222589108970597	0.998728769628403	1472	607	0.0142560006694105	41.3693173917505	49.5095128862808	2.21269667523456	8213000	47
20220601 163809	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	57	TRUE	TRUE	0.215196197437209	0.991425311387014	69	739	0.0452077141980139	7.22532982432741	58.1085152881925	0.439856236200598	8220000	48
20220601 163823	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	53	TRUE	TRUE	0.21891871553781	0.859577573346055	945	463	0.0302121298968065	0.504821027635025	44.29943606415	10.4440364940309	7481000	49
