fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220525 163515	-0.284489214584013	1702	846	14	5	9774000	90
20220525 163549	-0.559400887025112	1652	460	7	5	10800000	91
20220525 163630	-0.925930615333311	1597	555	11	5	10938000	92
20220525 163707	-0.490098539384242	1714	543	8	5	10999000	93
20220525 163751	-0.648218657990083	1767	503	16	5	11131000	94
20220525 163835	-0.901259932174111	1778	494	20	5	11132000	95
20220525 163921	-0.888762135773995	1941	431	18	5	10273000	96
20220525 163952	-0.117742804231246	6490	908	7	5	8526000	97
20220525 164032	-0.52131693006319	1756	528	8	5	11057000	98
20220525 164101	-0.409394601053071	1763	623	5	5	10349000	99
20220525 164144	-0.907395743624113	1314	635	13	5	10336000	100
20220525 164242	-0.968857201182906	1835	580	10	5	10835000	101
20220525 164329	-0.502500384546239	1823	519	13	5	10786000	102
20220525 164411	-0.363722849732402	2079	503	9	5	10086000	103
20220525 164449	-0.845310960558932	3039	1502	8	5	8856000	104
20220525 164536	-0.0815771883510247	1314	652	16	5	9936000	105
20220525 164615	-0.450647478655437	1918	542	8	5	10619000	106
20220525 164654	-0.640446010325458	1618	516	8	5	10933000	107
20220525 164743	-0.624423428476602	1621	539	19	5	1.1e+07	108
20220525 164831	-0.62742447804982	1691	511	16	5	10966000	109
20220525 164936	-0.0763913725684841	6098	1	20	5	8770000	110
20220525 165013	-0.0429422945372735	5332	2000	20	5	8606000	111
20220525 165101	-0.643848300913015	1699	453	18	5	10740000	112
20220525 165149	-0.669582781381643	1717	563	19	5	10914000	113
20220525 165238	-0.934297930218509	1786	527	20	5	10973000	114
20220525 165325	-0.285322202414856	5958	249	20	5	8483000	115
20220525 165404	-0.999496164533257	4494	1998	18	5	8758000	116
